0,19
0,15
1,13
2,16
3,17
4,15
5,15
6,11
7,9
8,5
9,6
10,5
11,2
12,1
13,1
14,5
15,8
16,4
17,2
18,4
19,2
20,3
21,5
22,1
23,1
24,4
25,0
26,2
27,1
28,2
29,4
30,7
31,6
32,10
33,7
34,11
35,9
36,12
37,8
38,10
39,10
40,11
41,12
42,11
43,12
44,13
45,12
46,16
47,17
48,18
49,18
51,18
52,14
53,15
54,17
55,15
56,18
57,15
58,13
59,10
60,14
61,17
62,18
63,14
64,17
65,14
66,13
67,14
68,13
69,17
70,15
71,15
72,11
73,7
74,4
75,1
76,0
77,0
78,2
79,1
80,3
81,2
82,4
83,5
84,2
85,3
86,5
87,5
88,1
89,5
90,3
91,5
92,1
93,2
94,0
95,0
96,1
97,1
98,2
99,1
100,3
101,4
102,5
103,4
104,5
105,3
106,0
107,4
108,7
109,4
110,4
111,1
112,0
113,1
114,2
115,3
116,7
117,3
118,4
119,0
120,0
121,3
122,0
124,3
125,6
126,9
127,11
128,7
129,4
130,0
131,1
132,3
133,2
134,1
135,2
136,1
137,5
138,8
139,5
140,9
141,12
142,8
143,8
144,8
145,9
146,5
147,3
148,7
149,4
